name,brand,model,price,currency,old_price,discount,rating,reviews,url,source_site,scraped_at
Apple iPhone 17 Pro 512GB - Orange Cosmique - Smartphone 5G-LTE IP68 - A19 Pro Hexa-Core - Écran Super Retina XDR OLED 6.3 pouces 1206 x 2622 - NFC/Bluetooth 6 - iOS 26 Neuf,apple,Unknown,16549.0,Dhs,18899.0,12%,,,https://www.jumia.ma/apple-iphone-17-pro-512gb-orange-cosmique-smartphone-5g-lte-ip68-a19-pro-hexa-core-ecran-super-retina-xdr-oled-6.3-pouces-1206-x-2622-nfcbluetooth-6-ios-26-neuf-67405499.html,jumia_ma,2026-04-24T14:51:14.591898
"Apple iPhone 16 – 6,1"" – 128 Go – 8 Go RAM – Outremer",apple,Iphone 16,8975.0,Dhs,11999.0,25%,,,https://www.jumia.ma/apple-iphone-16-61-128-go-8-go-ram-outremer-65767708.html,jumia_ma,2026-04-24T14:51:14.593603
"Apple iPhone 13 – 6,1"" – 128 Go – 4 Go RAM – Lumière Stellaire",apple,Iphone 13,6475.0,Dhs,9999.0,35%,5,3,https://www.jumia.ma/iphone-13-128gb-lumiere-stellaire-61-starlight-5g-a15-4gb-ram-neuf-apple-mpg1408696.html,jumia_ma,2026-04-24T14:51:14.594824
Apple iPhone 15 Pro Max - 6.7-inch - 1TB - Titane Bleu -  Reconditionné,apple,Iphone 15 Pro Max,9999.0,Dhs,11699.0,15%,,,https://www.jumia.ma/apple-iphone-15-pro-max-6.7-inch-1tb-titane-bleu-reconditionne-67545028.html,jumia_ma,2026-04-24T14:51:14.596167
"Apple iPhone 14 normal 128GB - 6,1-inch - Mauve (Purple) Bionic A15 -  Reconditionné",apple,A15,4800.0,Dhs,6799.0,29%,,,https://www.jumia.ma/apple-iphone-14-normal-128gb-61-inch-mauve-purple-bionic-a15-reconditionne-67705661.html,jumia_ma,2026-04-24T14:51:14.600353
"Apple iPhone 17 Pro 256 Go 6,3"" 12 Go RAM Puce A19 Pro Bleu Intense iOS",apple,Unknown,14675.0,Dhs,19999.0,27%,,,https://www.jumia.ma/apple-iphone-17-pro-256-go-63-12-go-ram-puce-a19-pro-bleu-intense-ios-67234006.html,jumia_ma,2026-04-24T14:51:14.603881
Apple iPhone 17 Pro 256GB - Orange Cosmique - Smartphone 5G-LTE IP68 - A19 Pro Hexa-Core - Écran Super Retina XDR OLED 6.3 pouces 1206 x 2622 - NFC/Bluetooth 6 - iOS 26 Neuf,apple,Unknown,15200.0,Dhs,16999.0,11%,5,1,https://www.jumia.ma/apple-iphone-17-pro-256gb-orange-cosmique-smartphone-5g-lte-ip68-a19-pro-hexa-core-ecran-super-retina-xdr-oled-6.3-pouces-1206-x-2622-nfcbluetooth-6-ios-26-neuf-67400572.html,jumia_ma,2026-04-24T14:51:14.605350
"Apple iPhone 15 – 6,1"" – 128 Go – 6 Go RAM – Noir",apple,Iphone 15,7975.0,Dhs,13000.0,39%,5,11,https://www.jumia.ma/iphone-15-128gb-noir-61-black-dynamic-island-a16-bionic-ios-48-mpx-6gb-ram-apple-mpg1455788.html,jumia_ma,2026-04-24T14:51:14.606704
"Apple iPhone 16 Pro Max - 6.9"" - 8GB RAM + 256GB - Titane Naturel",apple,Iphone 16 Pro Max,14100.0,Dhs,18999.0,26%,,,https://www.jumia.ma/apple-iphone-16-pro-max-6.9-8gb-ram-256gb-titane-naturel-65971265.html,jumia_ma,2026-04-24T14:51:14.607894
Apple iPhone 17 Pro Max / 512GB / Bleu Intense / Smartphone 5G-LTE IP68 Dual SIM - A19 Pro Hexa-Core - Écran Super Retina XDR OLED 6.9-inch 1320 x 2868 - NFC/Bluetooth 6 - iOS 26 Neuf,apple,Unknown,19275.0,Dhs,21499.0,10%,,,https://www.jumia.ma/apple-iphone-17-pro-max-512gb-bleu-intense-smartphone-5g-lte-ip68-dual-sim-a19-pro-hexa-core-ecran-super-retina-xdr-oled-6.9-inch-1320-x-2868-nfcbluetooth-6-ios-26-neuf-67401731.html,jumia_ma,2026-04-24T14:51:14.609062
"Apple iPhone 16 – 6,1"" – 128 Go – 8 Go RAM – Noir",apple,Iphone 16,8575.0,Dhs,11999.0,29%,5,3,https://www.jumia.ma/apple-iphone-16-61-128-go-8-go-ram-noir-65767716.html,jumia_ma,2026-04-24T14:51:14.610418
"Apple iPhone XR, 6.1"", 64Go + 3Gb Stockage - Blanc -  Reconditionné",apple,Unknown,3699.0,Dhs,4299.0,14%,,,https://www.jumia.ma/apple-iphone-xr-6.1-64go-3gb-stockage-blanc-reconditionne-61371423.html,jumia_ma,2026-04-24T14:51:14.612120
"Apple iPhone 14 – 6.1"" – 128 Go – 6 Go RAM - Minuit – Bionic A15",apple,A15,6999.0,Dhs,13199.0,47%,5,1,https://www.jumia.ma/iphone-14-128gb-minuit-61-midnight-a15-ios-mode-action-sos-6gb-ram-garantie-apple-mpg1408693.html,jumia_ma,2026-04-24T14:51:14.615513
"Apple iPhone 15 Pro Max 256 Go - Titane Black - Ecran OLED 6.7"" inch - 8 Go RAM - New",apple,Iphone 15 Pro Max,10399.0,Dhs,11299.0,8%,,,https://www.jumia.ma/apple-iphone-15-pro-max-256-go-titane-black-ecran-oled-6.7-inch-8-go-ram-new-64559293.html,jumia_ma,2026-04-24T14:51:14.616379
Apple iPhone 16 Pro Max 8GB + 256GB - Noir Titane -  Reconditionné,apple,Iphone 16 Pro Max,10800.0,Dhs,13899.0,22%,,,https://www.jumia.ma/apple-iphone-16-pro-max-8gb-256gb-noir-titane-reconditionne-67501009.html,jumia_ma,2026-04-24T14:51:14.620734
"Apple iPhone 15 128 GB (Rose) Pink Dynamic Island - Retina XDR OLED 6.1"" 6GB RAM - New",apple,Iphone 15,7999.0,Dhs,10999.0,27%,,,https://www.jumia.ma/apple-iphone-15-128-gb-rose-pink-dynamic-island-retina-xdr-oled-6.1-6gb-ram-new-64508495.html,jumia_ma,2026-04-24T14:51:14.622167
